csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Thaqo Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-20.280231,-64.384003
Thaqo Pampa Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-20.236429,-64.415588
Tica Tica Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-20.144112,-66.314163
Tika Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.816032,-65.220337
Tin Tin - Maman Huachana Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-18.024445,-65.422211
Tipa Tipa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.051867,-65.291748
Tojra Colla - Totoral Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.703558,-65.765533
Tunas Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.518345,-61.66626
Tupiza Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-21.432617,-65.714722
Tusqui Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-19.386295,-67.022095
Uchama Alta Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.913408,-65.467529
Uchama Baja - Pajchapata Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-18.0091,-65.473763
Ucuchi Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.35326,-65.975647
Ucuchi Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.350637,-65.974274
Ucuchi Reservoir,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.341463,-65.955048
Uyuni - ICLA Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-19.429688,-64.817276
Uyuni Clinic / Zona Sud,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-20.446316,-66.825943
Vacuyo Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-19.466593,-66.112976
Vichacla - Urito Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-20.578796,-65.604858
Vilacota Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.127666,-66.821594
Villa Alcarapi Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.821817,-66.286011
Villa de Mayo Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.452852,-66.306267
Villa Fatima Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-21.427504,-65.683136
